5rf8	YP_009724389	100.000	304	0	1	304	304	3264	3567	7096	0.0	645	100
5rf8	YP_009725301	100.000	304	0	1	304	304	1	304	306	0.0	636	100
5rf8	YP_009724393	29.032	31	19	74	101	304	148	178	222	3.4	20.0	9
5rfg	YP_009724389	100.000	304	0	1	304	304	3264	3567	7096	0.0	645	100
5rfg	YP_009725301	100.000	304	0	1	304	304	1	304	306	0.0	636	100
5rfg	YP_009724393	29.032	31	19	74	101	304	148	178	222	3.4	20.0	9
5rfd	YP_009724389	100.000	304	0	1	304	304	3264	3567	7096	0.0	645	100
5rfd	YP_009725301	100.000	304	0	1	304	304	1	304	306	0.0	636	100
5rfd	YP_009724393	29.032	31	19	74	101	304	148	178	222	3.4	20.0	9
6vyb	YP_009724390	85.905	1121	3	1	966	2875	27	1147	1273	0.0	1870	100
6vyb	YP_009724390	85.156	1125	6	1912	2875	2875	23	1147	1273	0.0	1860	100
6vyb	YP_009724390	84.178	1125	6	963	1915	2875	23	1147	1273	0.0	1825	100
6vyb	YP_009725307	36.842	19	12	715	733	2875	338	356	932	8.4	22.3	2
6vyb	YP_009725307	36.842	19	12	1664	1682	2875	338	356	932	8.4	22.3	2
6vyb	YP_009725307	36.842	19	12	2624	2642	2875	338	356	932	8.4	22.3	2
6vyb	YP_009724389	36.842	19	12	715	733	2875	4730	4748	7096	8.7	22.3	7
6vyb	YP_009724389	36.842	19	12	1664	1682	2875	4730	4748	7096	8.7	22.3	7
6vyb	YP_009724389	36.842	19	12	2624	2642	2875	4730	4748	7096	8.7	22.3	7
6vyb	YP_009724389	30.189	53	35	282	332	2875	4376	4428	7096	9.6	22.3	7
6vyb	YP_009724389	30.189	53	35	1241	1291	2875	4376	4428	7096	9.6	22.3	7
6vyb	YP_009724389	30.189	53	35	2197	2247	2875	4376	4428	7096	9.6	22.3	7
6vww	YP_009724389	99.712	347	1	3	349	696	6453	6799	7096	0.0	717	99
6vww	YP_009724389	98.584	353	3	344	696	696	6448	6798	7096	0.0	717	99
6vww	YP_009724389	26.531	49	35	188	236	696	6364	6411	7096	7.1	20.4	99
6vww	YP_009724389	26.531	49	35	536	584	696	6364	6411	7096	7.1	20.4	99
6vww	YP_009725310	100.000	346	0	3	348	696	1	346	346	0.0	713	99
6vww	YP_009725310	100.000	346	0	351	696	696	1	346	346	0.0	713	99
6vww	YP_009725308	22.222	99	65	232	322	696	299	393	601	4.7	21.2	26
6vww	YP_009725308	22.222	99	65	580	670	696	299	393	601	4.7	21.2	26
6vww	YP_009725309	26.531	49	35	188	236	696	439	486	527	4.7	21.2	14
6vww	YP_009725309	26.531	49	35	536	584	696	439	486	527	4.7	21.2	14
6vww	YP_009725300	42.105	19	11	181	199	696	191	209	500	9.8	20.0	5
