seq_0000	YP_009725296	100.000	43	0	1	43	43	1	43	43	5.43e-27	83.6	100
seq_0000	YP_009724392	36.364	22	14	6	27	43	13	34	75	1.1	17.3	51
seq_0000	YP_009725299	71.429	7	2	13	19	43	1510	1516	1945	2.8	16.5	16
seq_0000	YP_009724389	71.429	7	2	13	19	43	2328	2334	7096	3.1	16.2	16
seq_0001	YP_009725312	100.000	13	0	1	13	13	1	13	13	1.16e-05	27.7	100
seq_0001	YP_009724389	100.000	9	0	1	9	13	4393	4401	7096	0.004	21.9	69
seq_0001	YP_009725307	100.000	9	0	1	9	13	1	9	932	0.006	21.6	69
seq_0002	YP_009724389	100.000	298	0	1	298	298	6799	7096	7096	0.0	627	100
seq_0002	YP_009724389	29.825	57	33	69	119	298	6153	6208	7096	1.3	21.6	100
seq_0002	YP_009724389	25.000	56	38	212	265	298	5493	5546	7096	4.1	20.0	100
seq_0002	YP_009725311	100.000	298	0	1	298	298	1	298	298	0.0	622	100
seq_0002	YP_009725309	29.825	57	33	69	119	298	228	283	527	1.4	21.6	17
seq_0002	YP_009724397	48.000	25	6	93	110	298	393	417	419	2.6	20.4	6
seq_0002	YP_009725308	25.000	56	38	212	265	298	169	222	601	3.2	20.0	18
seq_0002	YP_009724396	40.000	25	14	39	63	298	8	31	121	5.3	18.9	8
seq_0003	YP_009724389	100.000	527	0	1	527	527	5926	6452	7096	0.0	1134	100
seq_0003	YP_009724389	25.000	68	47	209	273	527	4780	4846	7096	0.62	23.5	100
seq_0003	YP_009724389	29.730	37	24	484	518	527	231	267	7096	1.0	22.7	100
seq_0003	YP_009724389	29.825	57	33	228	283	527	6867	6917	7096	2.2	21.9	100
seq_0003	YP_009724389	26.531	49	35	439	486	527	6638	6686	7096	7.9	20.0	100
seq_0003	YP_009725309	100.000	527	0	1	527	527	1	527	527	0.0	1108	100
seq_0003	YP_009725255	25.000	32	24	435	466	527	2	33	38	0.34	21.6	6
seq_0003	YP_009725298	29.730	37	24	484	518	527	51	87	638	0.50	23.9	7
seq_0003	YP_009725307	25.000	68	47	209	273	527	388	454	932	1.0	22.7	12
seq_0003	YP_009724390	39.130	23	12	233	255	527	168	188	1273	1.5	22.3	4
seq_0003	YP_009725311	29.825	57	33	228	283	527	69	119	298	2.4	21.6	11
seq_0003	YP_009725310	26.531	49	35	439	486	527	186	234	346	3.0	21.2	9
seq_0004	YP_009724389	100.000	346	0	1	346	346	6453	6798	7096	0.0	716	100
seq_0004	YP_009724389	26.531	49	35	186	234	346	6364	6411	7096	3.3	20.4	100
seq_0004	YP_009724389	22.222	99	65	230	320	346	5623	5717	7096	4.5	20.0	100
seq_0004	YP_009724389	42.105	19	11	179	197	346	2954	2972	7096	5.9	19.6	100
seq_0004	YP_009725310	100.000	346	0	1	346	346	1	346	346	0.0	712	100
seq_0004	YP_009725308	22.222	99	65	230	320	346	299	393	601	1.9	21.2	26
